AirportKey,AirportCode,CityName,StateCode,StateName,Region,ReliabilityScore,FlightCount,MonthlyDelayRate
a1a0dd643ad00b0aaf8b56213648c826e940f02d1ae26319ec4495944586c00b,LAX,"Los Angeles, CA",CA,California,West,88.52,693585,0.17849702258895322
302b7594f9b62a5d0b3a2e5ff7c6e0f269a6adc2ceb26e6fc427f0edcdef18a1,CMH,"Columbus, OH",OH,Ohio,Midwest,89.6,143052,0.16070697978888798
d5650201f079c68a1f0849dab4530c6842f583ff5f9b18cdecc965340047b188,FSM,"Fort Smith, AR",AR,Arkansas,South,90.28,5125,0.1771117166212534
f79d30273e22c75096b989d2296b9c4cd38451359fd33c18e0d3817d288c1050,CLE,"Cleveland, OH",OH,Ohio,Midwest,88.76,146817,0.1780571246718116
cddb512b062cc9719cd296763a44fda56ea31a6a40f12fcbcdae9f5b7b069ac3,PAH,"Paducah, KY",KY,Kentucky,South,91.96,2167,0.14619883040935672
31a82d3cebe79f8f8d8d459eb1f2c3a514685a1987d932d2f2b2127b6068fb71,RNO,"Reno, NV",NV,Nevada,West,88.67,75511,0.18709769703905021
3ad14da35307aa56671958fab68c4e18bca73167c55333bea42b10c0996c256e,AMA,"Amarillo, TX",TX,Texas,South,88.61,19685,0.18582046883933676
06ffee5debea870a61533c41ebf7ace832ac8600f5d0876c337743065c3ab548,LEX,"Lexington, KY",KY,Kentucky,South,90.57,34465,0.11329661683713611
e775e69b3625d11115e3cde366f83ad1fedec669fd0541a123f6e6572cfab438,OGD,"Ogden, UT",UT,Utah,West,77.3,229,0.29411764705882354
eb81d334d8788be9191947a49f360ac654b7fbb30b7867a0f528ad9c1d3da78e,EUG,"Eugene, OR",OR,Oregon,West,90.26,32912,0.10682004930156122
029c2d46a6c11e345b8d42343e8cdcefb07dd079b7dff423d91981b92ec922d6,MKK,"Hoolehua, HI",HI,Hawaii,West,93.36,1093,0.23140495867768596
02128cbdab929a55a0f52ca5a36c4ad22122068eb4d7712ed131f11a99d33a84,CRW,"Charleston/Dunbar, WV",WV,West Virginia,South,88.8,13370,0.24077490774907748
654d21ef1bc4cf4b93e3d197f6f0ff2a7b5954492ec2b1ba848e8473d46ff6f3,SRQ,"Sarasota/Bradenton, FL",FL,Florida,South,85.58,55502,0.20250749523030798
ad8d94677afd869dd88310e0d9df179b6a74e577a3346ebf95c96dee45eec4ba,OAJ,"Jacksonville/Camp Lejeune, NC",NC,North Carolina,South,91.71,10667,0.14254859611231102
dc2859b7d4aeb866a947bdb17662439ee0695236e1a64061a5db74e329623b25,HHH,"Hilton Head, SC",SC,South Carolina,South,87.21,10237,0.20872540633019676
e0cd91f74424c466ac491b0a80deddafe3c3d0f77fdd4b582000fc017fce527d,HTS,"Ashland, WV",WV,West Virginia,South,86.05,4802,0.23569794050343248
db97af447aa649fd9acb5459d1aa41c730703000a741683885cdcfa76bf3e345,ATW,"Appleton, WI",WI,Wisconsin,Midwest,89.37,24881,0.15492300513299112
664f15ef031e161adf0f1c76930efb70f640fd105d6a7358bed26016a832bc3f,PDX,"Portland, OR",OR,Oregon,West,91.19,232875,0.14919910642140785
cf9c1d2ba1f90d3a0259e408d26c8683ff82071b62288e5c47ada781698ea4f7,LAW,"Lawton/Fort Sill, OK",OK,Oklahoma,South,89.47,4300,0.18005540166204986
4bc539fc3a3f04e3cc55bb61a1640b6ae60d8e969b200f2c32274d2ab20476cd,SPN,"Saipan, TT",TT,U.S. Pacific Trust Territories and Possessions,Other,96.11,1279,0.08139534883720931
d3f3eecbbb73c1d8a01ddd8b43ed1f66f56d87d73367b0fbc4c4181851b45694,CRP,"Corpus Christi, TX",TX,Texas,South,90.79,19660,0.1703030303030303
52f87668608a66334083602ec1b77a90bb008a3d273118eb3223496997b53815,GRR,"Grand Rapids, MI",MI,Michigan,Midwest,89.42,66742,0.15564544495251495
8e3773a0e87687ba97650541d952140b906cebed6aa62c7a0327d7512025fb42,IPT,"Williamsport, PA",PA,Pennsylvania,Northeast,93.46,532,0.05
1468a82caa00598027ddf31c71c220559d34505e4d62c904dd3e3563b4cab356,MCI,"Kansas City, MO",MO,Missouri,Midwest,88.89,165878,0.13243452004774944
70e4111f2d310c1d502a9a2d432bab4f9ddea400b2284b6771c6fb1d0cd0e4c6,CLL,"College Station/Bryan, TX",TX,Texas,South,91.07,5972,0.1996370235934664
d75a1320a2d2c39fb308077bc1a8bff9c37be9194c564ae207f939967f001aef,HVN,"New Haven, CT",CT,Connecticut,Northeast,94.27,602,0.06329113924050633
f7e37f452656c0cf8b2b00759dac7c0b6115a176ab1d01f23b25321f9630c339,BRW,"Barrow, AK",AK,Alaska,West,79.4,1538,0.4230769230769231
a04f893c18b79818433e25b2552c303cb68eb0a4bd09dbc8be97982fed8ed4ac,DEC,"Decatur, IL",IL,Illinois,Midwest,90.47,3135,0.14487632508833923
f4daa765e0b0f5f0d6e639f1e48728149249d6e1ef358eb0a9582e61cf287e0d,ITO,"Hilo, HI",HI,Hawaii,West,92.48,22781,0.10392839383391347
fb6eb187b902ead3b299b1ae28a19aab74daa6833d1c59559f59832b422ad76d,PGD,"Punta Gorda, FL",FL,Florida,South,83.44,23775,0.23493568043331076
4140d0a1a9d7ddaec5de60285229890d6625f02f27c925738f27a4dcfda03c3b,ANC,"Anchorage, AK",AK,Alaska,West,90.38,73789,0.15030860462301826
94638003ba40e20dfb08128f3ddfd98c4f023940a6055f31e94b6cf1eff0f7c9,HRL,"Harlingen/San Benito, TX",TX,Texas,South,89.7,16718,0.1436388508891929
285199cea4ae50eb9cb96b967cda3dfce0521b76074b0d0f36c0ab9c368fe7b3,MFE,"Mission/McAllen/Edinburg, TX",TX,Texas,South,88.49,17414,0.17659279778393353
7139c20604d1a1f5f3ae9ae28336d39fc13a5a5f564e196e0d26e2c23b990fec,HGR,"Hagerstown, MD",MD,Maryland,South,78.95,792,0.358695652173913
be5f3e81b54d5e21796df33fb21bcbda5dedfcbbe68a667cb9cd8bfffef52b7e,YAK,"Yakutat, AK",AK,Alaska,West,88.69,2896,0.19838056680161945
84d9221048ff3732150ec4a8615e7797f77e95e358b5f2add0507959a39f451a,EWN,"New Bern/Morehead/Beaufort, NC",NC,North Carolina,South,91.44,6011,0.16306483300589392
b616cc092f74709e80112b52c8fda1f7177e3c7b7b805d3c2346227936e6b42d,HYS,"Hays, KS",KS,Kansas,Midwest,90.51,2879,0.20155038759689922
dc7960398ddf349bcd333be98211bedd71fbf090c8b51b38fa386bccb4bf359b,GSP,"Greer, SC",SC,South Carolina,South,90.95,52458,0.19167630057803467
c38d05721ef9717092a556c13df8d6f4c38a7f42aefd57d2b54dad82b4b6e44d,TVC,"Traverse City, MI",MI,Michigan,Midwest,88.64,19145,0.17838444278234855
1d937004322e94d25ae8a615b0eeed8dff6dd89aa63cd287f7e914f743207c25,AGS,"Augusta, GA",GA,Georgia,South,90.22,17991,0.14715719063545152
2ea64b55cf2a0f5d367c2b84019eb733cf398f72a80e9d488053e2ed39600e74,BWI,"Baltimore, MD",MD,Maryland,South,81.51,330319,0.2735509111500051
d9a248aa1fe16b27e2445be76826e59119de2023ebb8b5bfebc98def37d997f5,CNY,"Moab, UT",UT,Utah,West,90.61,2640,0.20535714285714285
e4029b425df11e67197c72eea3c7aa3abe7b7bab2cf844d58cbc0d994b32e5e5,CGI,"Cape Girardeau, MO",MO,Missouri,Midwest,91.88,1737,0.08888888888888889
443f5551a41e3efde48aacab0555ad5ff6dfa0d8351057f56749e26b7c29562b,BTR,"Baton Rouge, LA",LA,Louisiana,South,90.69,21975,0.14526079641054404
7ceb9907dcc7cf8b9ada81084bc279303d80ac73c6af237957f410e641015d8e,TXK,"Texarkana, AR",AR,Arkansas,South,91.24,4177,0.11965811965811966
27fe1579cb05bc4294b7718484eac06ae59f7f7809025a522473852f26f29c90,FLO,"Florence, SC",SC,South Carolina,South,92.19,2872,0.13478260869565217
4b1824b663a4f4b36465d3d43c70f19500a0f47feafd71722e1459673394e041,PSG,"Petersburg, AK",AK,Alaska,West,90.02,2898,0.14166666666666666
da815789b8b64ff12cb75058fd632813124a0230f218125b83700a2fd789195b,SWO,"Stillwater, OK",OK,Oklahoma,South,93.31,2561,0.08173076923076923
e07ba719f5d2cb41696f28d24b78ac3daa71cd97da0d8d4121bd7869d7a9abd8,OTZ,"Kotzebue, AK",AK,Alaska,West,90.44,2443,0.13592233009708737
144b651ea0cf1b2756258b2205db3175956a2094a49b6f127a16ac99759ce3de,CHS,"Charleston, SC",SC,South Carolina,South,88.02,90686,0.20498442367601247
3d0238f4ec24ae8dd170f236a3380a6ea18bfdeef0e8eaa05f3e78f6498e01f0,MQT,"Marquette, MI",MI,Michigan,Midwest,89.16,4537,0.1707865168539326
4ee039ce6f5cc1e2075ccb0dc1ea1d0d45b0b51524222e13a31f89df69d2bce7,GSO,"Greensboro/High Point, NC",NC,North Carolina,South,91.06,45637,0.1490601006089489
a1b654ec15787b3c7424e48de40ea9766b0ead259e7d1a42bcb265f805381b53,WYS,"West Yellowstone, MT",MT,Montana,West,92.11,1287,0.029850746268656716
971f0d1924892f967bc0b1bf6ba20430db4d330dcfdd6ea8ea0e82de4099a33f,OME,"Nome, AK",AK,Alaska,West,90.8,2441,0.1553398058252427
97e710f800817bff5f83cff45e1dd3935a21846e2258bafde765803fd63bfc95,KTN,"Ketchikan, AK",AK,Alaska,West,90.26,8717,0.148109243697479
